,description
1178,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 296068, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['GenAI', 'NLP', 'LLM', 'programming', 'machine learning', 'AI libraries']}"
1179,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Python', 'PySpark', 'Hadoop', 'Databricks', 'AWS', 'Azure', 'Google Cloud', 'SQL', 'NoSQL', 'PostgreSQL', 'MySQL', 'Oracle', 'Apache Airflow']}"
1180,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 156000, 'max_yearly_salary': 195000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['ML engineering', 'MLOps', 'LLMOps', 'ML platform', 'ML frameworks', 'data pipelines', 'Python', 'SQL', 'data processing', 'databases', 'monitoring tools', 'cloud services', 'infrastructure management', 'code deployment', 'collaboration', 'problem solving', 'original thinking', 'project management', 'attention to detail', 'influence', 'presentation', 'information handling', 'teamwork', 'coaching', 'guidance', 'CI/CD tools']}"
1181,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['machine learning', 'reinforcement learning', 'imitation learning', 'robotics']}"
1182,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['backend development', 'programming', 'Python', 'Django', 'Flask', 'web services', 'SOA', 'databases', 'SQL', 'NoSQL', 'cloud platforms', 'AWS', 'GCP', 'Azure']}"
1183,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': None}"
1184,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Data Science', 'Python', 'Machine Learning', 'Computer Vision', 'Object Detection', 'Pytorch', 'Keras']}"
1185,"{'min_years_of_experience': 4, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 85150, 'max_yearly_salary': 153925, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Python', 'R', 'SQL', 'data processing', 'data visualization', 'machine learning', 'statistical analysis', 'cloud computing', 'data pipelines', 'dashboard development']}"
1186,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 32000, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['collaboration', 'communication', 'data collection', 'data analysis', 'lab maintenance', 'molecular biology', 'gene editing', 'genomics', 'microscopy']}"
1187,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 142700, 'max_yearly_salary': 257600, 'required_degree': None, 'remote_work': None, 'required_skills': ['GPU intensive ML workloads', 'cloud services', 'Computer Vision', 'GenAI technology', 'Python', 'ML', 'PyTorch', 'TensorFlow', 'CUDA', 'Kubernetes', 'AWS']}"
1188,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 150000, 'max_yearly_salary': 180000, 'required_degree': None, 'remote_work': True, 'required_skills': ['data science', 'growth', 'A/B testing', 'statistical techniques', 'product strategy', 'ETL', 'SQL', 'communication']}"
1189,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'PhD/MS/BS', 'remote_work': False, 'required_skills': ['Machine Learning', 'AI', 'numerical modeling', 'performance modeling', 'deep neural networks', 'ML algorithms', 'Pytorch', 'Tensorflow', 'ONNX', 'custom operators', 'AI inference data types', 'quantization techniques', 'Python programming', 'GPUs', 'communication skills', 'problem-solving skills']}"
1190,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 90000, 'max_yearly_salary': None, 'required_degree': 'Ph. D.', 'remote_work': False, 'required_skills': ['data analytics', 'AI/ML platforms', 'communication', 'problem-solving', 'strategic thinking']}"
1191,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 90000, 'max_yearly_salary': 120000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['project management', 'communication', 'collaboration', 'natural language processing', 'computer vision', 'machine learning']}"
1192,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 63750, 'max_yearly_salary': 85000, 'required_degree': None, 'remote_work': True, 'required_skills': ['data science', 'data analysis', 'machine learning', 'data visualization', 'satellite data', 'spatiotemporal analysis']}"
1193,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 143000, 'max_yearly_salary': 286000, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['statistical modeling', 'machine learning', 'data analysis', 'A/B testing', 'programming', 'Python', 'R', 'big data', 'communication']}"
1194,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 88500, 'max_yearly_salary': 120000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Python', 'machine learning', 'high-performance computing', 'data pipelining', 'applied statistics', 'robotics', 'Bayesian estimation', 'SLAM', 'distributed computing', 'embedded software development', 'data science', 'storage and database management', 'machine learning frameworks']}"
1195,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data modeling', 'data integration', 'data warehousing', 'data governance', 'data security', 'Oracle', 'PostgreSQL', 'Snowflake architecture', 'Snowflake objects', 'Snowflake cloning', 'Snowflake Warehouses', 'Snowflake RBAC', 'Snowflake SSO', 'Informatica', 'ETL processes', 'administrative automation', 'monitoring Snowflake', 'Snowflake security features', 'technical writing', 'agile sprint team', 'JIRA software', 'team collaboration', 'Informatica 10.5', 'Cognos Analytics']}"
1196,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 35000, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['animal care', 'lab maintenance', 'behavioral testing', 'ordering supplies', 'histological protocols']}"
1197,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 86700, 'max_yearly_salary': 199500, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['AI', 'ML', 'Deep Learning', 'TensorFlow', 'PyTorch', 'Python', 'SQL', 'Pandas', 'PySpark', 'MLOps']}"
1198,"{'min_years_of_experience': 4, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 200740, 'max_yearly_salary': 253430, 'required_degree': 'Advanced or equivalent Degree', 'remote_work': False, 'required_skills': ['Data Science', 'Analytics', 'SQL', 'PostgreSQL', 'Hive', 'Spark', 'Python', 'R', 'Data storytelling']}"
1199,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data science', 'Python programming', 'SQL', 'data visualization', 'machine learning', 'statistical inference', 'communication', 'organizational skills', 'interpersonal skills', 'quantitative skills', 'Microsoft Office']}"
1200,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Java', 'software development', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'Tensorflow']}"
1201,"{'min_years_of_experience': 2, 'min_hourly_salary': 34, 'max_hourly_salary': 62, 'min_yearly_salary': 72150, 'max_yearly_salary': 130425, 'required_degree': 'BA/MS', 'remote_work': False, 'required_skills': ['data analysis', 'data collection', 'data processing', 'data modeling', 'analytics', 'Tableau', 'programming', 'Python', 'Java', 'SQL', 'data cleansing', 'geospatial data management', 'cloud architecture', 'Dev Ops']}"
1202,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS or MS', 'remote_work': True, 'required_skills': ['data transformation', 'statistical models', 'EDA', 'SQL', 'data pipelines', 'ETL', 'AWS', 'healthcare economics']}"
1203,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['business acumen', 'manufacturing operations', 'analytical models', 'machine learning', 'python', 'data visualization', 'MLOps', 'mentorship', 'communication']}"
1204,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Java', 'programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernates', 'REST API', 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'data visualization']}"
1205,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Generative AI', 'prompt engineering', 'data engineering', 'Python', 'model fine-tuning', 'MLOps', 'cloud environments']}"
1206,"{'min_years_of_experience': 10, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Generative AI', 'ML', 'Python', 'LLM', 'Bert', 'Cloud', 'Tensor flow', 'LangChain', 'NLP']}"
1207,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Sagemaker', 'Generative AI', 'MLflow', 'DevSecOps', 'Postgres', 'MongoDB', 'DynamoDB', 'S3', 'Python', 'EMR serverless', 'IAM roles', 'Docker']}"
1208,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data science', 'Python', 'SQL', 'mathematics', 'statistics', 'engineering', 'data visualization', 'communication', 'organization']}"
1209,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['software engineering', 'machine learning', 'large-scale systems', 'publications', 'production code', 'state-of-the-art techniques', 'AI experience']}"
1210,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['clinical development', 'generative models', 'deep learning', 'DNA-seq', 'RNA-seq', 'proteomics', 'R', 'Python', 'DevOps', 'machine learning', 'AI']}"
1211,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 117200, 'max_yearly_salary': 229200, 'required_degree': 'Doctorate/MS/BS', 'remote_work': True, 'required_skills': ['data management', 'statistical techniques', 'data analysis', 'model evaluation', 'code development', 'industry knowledge', 'customer focus']}"
1212,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 110000, 'max_yearly_salary': 140000, 'required_degree': 'MS', 'remote_work': True, 'required_skills': ['Machine Learning', 'Big Data', 'Problem Solving', 'Consulting', 'Statistical Analysis', 'Business Knowledge', 'Financial Analysis', 'Functional Programming']}"
1213,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 160000, 'max_yearly_salary': 210000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data validation', 'campaign optimization', 'business collaboration', 'programming', 'communication', 'problem solving']}"
1214,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': ""Ph.D. or Master's degree"", 'remote_work': True, 'required_skills': ['machine learning', 'deep learning', 'unsupervised learning', 'transfer learning', 'Python', 'JavaScript', 'Solidity', 'TensorFlow', 'PyTorch', 'Web3.js', 'ethers.js', 'statistical modeling', 'optimization', 'blockchain', 'decentralized finance', 'decentralized identity', 'analytical skills', 'problem-solving', 'communication', 'research publishing']}"
1215,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 131000, 'max_yearly_salary': 195000, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'Python', 'R', 'statistics', 'machine learning', 'data visualization', 'communication']}"
1216,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['Java', 'software development life cycle', 'Core Java', 'javascript', 'C++', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', ""REST API's"", 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'Time series analysis']}"
